school,long,lat,x,y
Flanshaw Road School,174.645463,-36.860805,1746678.9768109745,5919305.138897875
Flat Bush School,174.883673,-36.97529,1767664.4640351895,5906210.732814817
Forrest Hill School,174.749433,-36.773717,1756124.6504965886,5928802.303535098
Freemans Bay School,174.75281,-36.852048,1756266.6970276535,5920106.392117208
Freyberg Community School,174.651176,-36.871038,1747168.6477881954,5918161.059559751
Fruitvale Road School,174.667362,-36.915651,1748524.9198744367,5913186.415941324
Gladstone School (Auckland),174.71247,-36.880183,1752614.0060704728,5917050.213582691
Glamorgan School,174.735313,-36.702673,1755007.2632997443,5936707.0847150665
Glen Eden Intermediate,174.652547,-36.924551,1747188.0168671664,5912221.980783499
Glen Eden School,174.652086,-36.90865,1747177.5158448832,5913986.823285129
Glen Innes School,174.857045,-36.874151,1765512.6636433073,5917478.4801931335
Glen Taylor School,174.863975,-36.869826,1766139.744653554,5917946.28741437
Glenavon School,174.701981,-36.909858,1751620.426007098,5913774.640703272
Glenbrae Primary School,174.870065,-36.873361,1766674.9290528079,5917543.470263351
Glenbrook School,174.75142,-37.204955,1755421.7678589073,5880954.284882665
Glendene School,174.655175,-36.886855,1747494.6741776376,5916400.084597577
Glendowie School,174.87568,-36.863143,1767197.7071670885,5918667.312159023
Glenfield Intermediate,174.732175,-36.779792,1754572.157223966,5928156.346190552
Glenfield Primary School,174.727633,-36.779642,1754167.1132715286,5928180.317583296
Good Shepherd School (Balmoral),174.743509,-36.891182,1755358.1214676183,5915779.836170934
Green Bay Primary School,174.672668,-36.931682,1748966.4028744905,5911399.577472704
Greenhithe School,174.675395,-36.774022,1749516.1345752073,5928886.731838287
Greenmeadows Intermediate,174.906355,-37.029261,1769563.6252963452,5900182.448925876
Grey Lynn School,174.735488,-36.863128,1754699.9286679225,5918905.327196401
Halsey Drive School,174.719184,-36.93271,1753107.3657370948,5911211.818767845
Harrisville School,174.951571,-37.239972,1773104.9372406192,5876721.768914987
Hauraki School,174.77445,-36.803869,1758295.3821234084,5925415.987522439
Hay Park School,174.744285,-36.92368,1755361.3372732876,5912173.049808027
Helensville School,174.453861,-36.679301,1729904.1074193849,5939718.2379447725
Henderson Intermediate,174.627984,-36.867743,1745107.6296703364,5918562.122957073
Henderson North School,174.626326,-36.869724,1744956.091456874,5918344.862932518
Henderson School,174.63628,-36.881193,1745821.557851989,5917057.288271779
Henderson South School,174.622353,-36.888586,1744566.3779264062,5916258.271433713
Henderson Valley School,174.59229,-36.899044,1741867.9332466323,5915143.151440119
Hillpark School,174.89837,-37.013244,1768888.7807053272,5901973.7519313395
Hillsborough School,174.757733,-36.923253,1756560.1126991399,5912198.424206592
Hobsonville School,174.637212,-36.805129,1746049.253171496,5925494.643981236
Holy Cross School (Papatoetoe),174.860421,-36.979569,1765585.3393423813,5905776.67287166
Holy Cross Catholic School (Henderson),174.636365,-36.886969,1745818.1458718185,5916416.346738154
Homai School,174.880252,-37.01243,1767278.5333977055,5902096.077053741
