DHB,Month,Year,Time,Population
Wairarapa,April,2018,2018.3333333333333,47112.740106428515
Wairarapa,May,2018,2018.4166666666667,47186.058383554555
Wairarapa,June,2018,2018.5,47258.41605500851
Wairarapa,July,2018,2018.5833333333333,47330.30616785088
Wairarapa,August,2018,2018.6666666666667,47402.221769142176
Wairarapa,September,2018,2018.75,47474.65590594229
Wairarapa,October,2018,2018.8333333333333,47548.10162531173
Wairarapa,November,2018,2018.9166666666667,47623.051974311
Wairarapa,December,2018,2019,47700
Wairarapa,January,2019,2019.0833333333333,47779.404800237826
Wairarapa,February,2019,2019.1666666666667,47861.58967607796
Wairarapa,March,2019,2019.25,47946.843979371806
Wairarapa,April,2019,2019.3333333333333,48035.45706197144
Wairarapa,May,2019,2019.4166666666667,48127.71827572897
Wairarapa,June,2019,2019.5,48223.91697249575
Wairarapa,July,2019,2019.5833333333333,48324.34250412386
Wairarapa,August,2019,2019.6666666666667,48429.28422246545
Wairarapa,September,2019,2019.75,48539.031479371806
Wairarapa,October,2019,2019.8333333333333,48653.87362669506
Wairarapa,November,2019,2019.9166666666667,48774.10001628739
Wairarapa,December,2019,2020,48900
Wairarapa,January,2020,2020.0833333333333,49031.862929685056
Wairarapa,February,2020,2020.1666666666667,49169.9781571948
Wairarapa,March,2020,2020.25,49314.63503438032
Wairarapa,April,2020,2020.3333333333333,49466.122913093845
Wairarapa,May,2020,2020.4166666666667,49624.73114518767
Wairarapa,June,2020,2020.5,49790.74908251277
Wairarapa,July,2020,2020.5833333333333,49964.466076921424
Wairarapa,August,2020,2020.6666666666667,50146.17148026599
Wairarapa,September,2020,2020.75,50336.15464439734
Wairarapa,October,2020,2020.8333333333333,50534.704921167795
Wairarapa,November,2020,2020.9166666666667,50742.11166242979
Wairarapa,December,2020,2021,50958.66422003404
Waitemata,January,1997,1997.0833333333333,421042.50523909956
Waitemata,February,1997,1997.1666666666667,421873.2041283863
Waitemata,March,1997,1997.25,422690.5928324855
Waitemata,April,1997,1997.3333333333333,423493.16751602956
Waitemata,May,1997,1997.4166666666667,424279.4243436505
Waitemata,June,1997,1997.5,425047.8594799742
Waitemata,July,1997,1997.5833333333333,425796.9690896326
Waitemata,August,1997,1997.6666666666667,426525.2493372578
Waitemata,September,1997,1997.75,427231.1963874758
Waitemata,October,1997,1997.8333333333333,427913.30640491855
Waitemata,November,1997,1997.9166666666667,428570.0755542178
Waitemata,December,1997,1998,429200
Waitemata,January,1998,1998.0833333333333,429802.49152587814
Waitemata,February,1998,1998.1666666666667,430380.6243913896
Waitemata,March,1998,1998.25,430938.3884750484
Waitemata,April,1998,1998.3333333333333,431479.7736553732
Waitemata,May,1998,1998.4166666666667,432008.7698108824
Waitemata,June,1998,1998.5,432529.36682009033
Waitemata,July,1998,1998.5833333333333,433045.5545615155
Waitemata,August,1998,1998.6666666666667,433561.3229136763
Waitemata,September,1998,1998.75,434080.66175508715
Waitemata,October,1998,1998.8333333333333,434607.56096426636
Waitemata,November,1998,1998.9166666666667,435146.0104197326
Waitemata,December,1998,1999,435700
Waitemata,January,1999,1999.0833333333333,436272.18143516226
