Area,Age,Sex,Year at 30 June,Value,Flags
"Bay of Plenty","Total people, age","Male","2007",98900,
"Bay of Plenty","Total people, age","Male","2008",99900,
"Bay of Plenty","Total people, age","Male","2009",101100,
"Bay of Plenty","Total people, age","Male","2010",102300,
"Bay of Plenty","Total people, age","Male","2011",103300,
"Bay of Plenty","Total people, age","Male","2012",103500,
"Bay of Plenty","Total people, age","Male","2013",103900,
"Bay of Plenty","Total people, age","Male","2014",106800,
"Bay of Plenty","Total people, age","Male","2015",110100,
"Bay of Plenty","Total people, age","Male","2016",113800,
"Bay of Plenty","Total people, age","Male","2017",118300,
"Bay of Plenty","Total people, age","Male","2018",122500,
"Bay of Plenty","Total people, age","Male","2019",125600,
"Bay of Plenty","Total people, age","Male","2020",129400,
"Bay of Plenty","Total people, age","Female","1996",84900,
"Bay of Plenty","Total people, age","Female","1997",87300,
"Bay of Plenty","Total people, age","Female","1998",89600,
"Bay of Plenty","Total people, age","Female","1999",91400,
"Bay of Plenty","Total people, age","Female","2000",92900,
"Bay of Plenty","Total people, age","Female","2001",94000,
"Bay of Plenty","Total people, age","Female","2002",95700,
"Bay of Plenty","Total people, age","Female","2003",97700,
"Bay of Plenty","Total people, age","Female","2004",99700,
"Bay of Plenty","Total people, age","Female","2005",101500,
"Bay of Plenty","Total people, age","Female","2006",103100,
"Bay of Plenty","Total people, age","Female","2007",104600,
"Bay of Plenty","Total people, age","Female","2008",106000,
"Bay of Plenty","Total people, age","Female","2009",107300,
"Bay of Plenty","Total people, age","Female","2010",108700,
"Bay of Plenty","Total people, age","Female","2011",110000,
"Bay of Plenty","Total people, age","Female","2012",110400,
"Bay of Plenty","Total people, age","Female","2013",111000,
"Bay of Plenty","Total people, age","Female","2014",113300,
"Bay of Plenty","Total people, age","Female","2015",116000,
"Bay of Plenty","Total people, age","Female","2016",119100,
"Bay of Plenty","Total people, age","Female","2017",123300,
"Bay of Plenty","Total people, age","Female","2018",127300,
"Bay of Plenty","Total people, age","Female","2019",130500,
"Bay of Plenty","Total people, age","Female","2020",134500,
"Bay of Plenty","Total people, age","Total people, sex","1996",167500,
"Bay of Plenty","Total people, age","Total people, sex","1997",171800,
"Bay of Plenty","Total people, age","Total people, sex","1998",175700,
"Bay of Plenty","Total people, age","Total people, sex","1999",178800,
"Bay of Plenty","Total people, age","Total people, sex","2000",181600,
"Bay of Plenty","Total people, age","Total people, sex","2001",183400,
"Bay of Plenty","Total people, age","Total people, sex","2002",186700,
"Bay of Plenty","Total people, age","Total people, sex","2003",190600,
"Bay of Plenty","Total people, age","Total people, sex","2004",194400,
"Bay of Plenty","Total people, age","Total people, sex","2005",197700,
"Bay of Plenty","Total people, age","Total people, sex","2006",200800,
"Bay of Plenty","Total people, age","Total people, sex","2007",203600,
"Bay of Plenty","Total people, age","Total people, sex","2008",205900,
"Bay of Plenty","Total people, age","Total people, sex","2009",208400,
"Bay of Plenty","Total people, age","Total people, sex","2010",211000,
"Bay of Plenty","Total people, age","Total people, sex","2011",213200,
"Bay of Plenty","Total people, age","Total people, sex","2012",213900,
"Bay of Plenty","Total people, age","Total people, sex","2013",215000,
"Bay of Plenty","Total people, age","Total people, sex","2014",220100,
"Bay of Plenty","Total people, age","Total people, sex","2015",226100,
"Bay of Plenty","Total people, age","Total people, sex","2016",232900,
"Bay of Plenty","Total people, age","Total people, sex","2017",241600,
"Bay of Plenty","Total people, age","Total people, sex","2018",249700,
"Bay of Plenty","Total people, age","Total people, sex","2019",256100,
"Bay of Plenty","Total people, age","Total people, sex","2020",263900,
"Tairawhiti","Total people, age","Male","1996",23300,
"Tairawhiti","Total people, age","Male","1997",23100,
"Tairawhiti","Total people, age","Male","1998",22900,
"Tairawhiti","Total people, age","Male","1999",22800,
"Tairawhiti","Total people, age","Male","2000",22600,
"Tairawhiti","Total people, age","Male","2001",22400,
"Tairawhiti","Total people, age","Male","2002",22400,
"Tairawhiti","Total people, age","Male","2003",22500,
"Tairawhiti","Total people, age","Male","2004",22400,
"Tairawhiti","Total people, age","Male","2005",22400,
"Tairawhiti","Total people, age","Male","2006",22400,
"Tairawhiti","Total people, age","Male","2007",22400,
"Tairawhiti","Total people, age","Male","2008",22400,
"Tairawhiti","Total people, age","Male","2009",22500,
"Tairawhiti","Total people, age","Male","2010",22700,
"Tairawhiti","Total people, age","Male","2011",22800,
"Tairawhiti","Total people, age","Male","2012",22900,
"Tairawhiti","Total people, age","Male","2013",22800,
"Tairawhiti","Total people, age","Male","2014",23200,
"Tairawhiti","Total people, age","Male","2015",23600,
"Tairawhiti","Total people, age","Male","2016",24000,
"Tairawhiti","Total people, age","Male","2017",24300,
"Tairawhiti","Total people, age","Male","2018",24500,
"Tairawhiti","Total people, age","Male","2019",24900,
"Tairawhiti","Total people, age","Male","2020",25200,
"Tairawhiti","Total people, age","Female","1996",23900,
"Tairawhiti","Total people, age","Female","1997",23800,
"Tairawhiti","Total people, age","Female","1998",23700,
"Tairawhiti","Total people, age","Female","1999",23600,
"Tairawhiti","Total people, age","Female","2000",23500,
"Tairawhiti","Total people, age","Female","2001",23200,
"Tairawhiti","Total people, age","Female","2002",23200,
"Tairawhiti","Total people, age","Female","2003",23300,
"Tairawhiti","Total people, age","Female","2004",23400,
"Tairawhiti","Total people, age","Female","2005",23400,
"Tairawhiti","Total people, age","Female","2006",23500,
"Tairawhiti","Total people, age","Female","2007",23500,
"Tairawhiti","Total people, age","Female","2008",23600,
"Tairawhiti","Total people, age","Female","2009",23700,
"Tairawhiti","Total people, age","Female","2010",24000,
"Tairawhiti","Total people, age","Female","2011",24100,
"Tairawhiti","Total people, age","Female","2012",24200,
"Tairawhiti","Total people, age","Female","2013",24100,
"Tairawhiti","Total people, age","Female","2014",24300,
"Tairawhiti","Total people, age","Female","2015",24500,
"Tairawhiti","Total people, age","Female","2016",24700,
"Tairawhiti","Total people, age","Female","2017",24900,
"Tairawhiti","Total people, age","Female","2018",25000,
"Tairawhiti","Total people, age","Female","2019",25300,
"Tairawhiti","Total people, age","Female","2020",25500,
"Tairawhiti","Total people, age","Total people, sex","1996",47200,
"Tairawhiti","Total people, age","Total people, sex","1997",46900,
"Tairawhiti","Total people, age","Total people, sex","1998",46600,
"Tairawhiti","Total people, age","Total people, sex","1999",46400,
"Tairawhiti","Total people, age","Total people, sex","2000",46100,
"Tairawhiti","Total people, age","Total people, sex","2001",45500,
"Tairawhiti","Total people, age","Total people, sex","2002",45500,
"Tairawhiti","Total people, age","Total people, sex","2003",45800,
"Tairawhiti","Total people, age","Total people, sex","2004",45800,
"Tairawhiti","Total people, age","Total people, sex","2005",45800,
"Tairawhiti","Total people, age","Total people, sex","2006",45900,
"Tairawhiti","Total people, age","Total people, sex","2007",45900,
"Tairawhiti","Total people, age","Total people, sex","2008",46000,
"Tairawhiti","Total people, age","Total people, sex","2009",46300,
"Tairawhiti","Total people, age","Total people, sex","2010",46700,
"Tairawhiti","Total people, age","Total people, sex","2011",46800,
"Tairawhiti","Total people, age","Total people, sex","2012",47000,
"Tairawhiti","Total people, age","Total people, sex","2013",47000,
"Tairawhiti","Total people, age","Total people, sex","2014",47500,
"Tairawhiti","Total people, age","Total people, sex","2015",48100,
"Tairawhiti","Total people, age","Total people, sex","2016",48800,
"Tairawhiti","Total people, age","Total people, sex","2017",49200,
"Tairawhiti","Total people, age","Total people, sex","2018",49500,
"Tairawhiti","Total people, age","Total people, sex","2019",50100,
"Tairawhiti","Total people, age","Total people, sex","2020",50700,
"Taranaki","Total people, age","Male","1996",54200,
"Taranaki","Total people, age","Male","1997",53900,
"Taranaki","Total people, age","Male","1998",53600,
"Taranaki","Total people, age","Male","1999",53100,
"Taranaki","Total people, age","Male","2000",52600,
"Taranaki","Total people, age","Male","2001",52200,
"Taranaki","Total people, age","Male","2002",52300,
"Taranaki","Total people, age","Male","2003",52600,
"Taranaki","Total people, age","Male","2004",52700,
"Taranaki","Total people, age","Male","2005",52700,
"Taranaki","Total people, age","Male","2006",52900,
"Taranaki","Total people, age","Male","2007",53000,
"Taranaki","Total people, age","Male","2008",53300,
"Taranaki","Total people, age","Male","2009",53900,
"Taranaki","Total people, age","Male","2010",54500,
"Taranaki","Total people, age","Male","2011",55100,
"Taranaki","Total people, age","Male","2012",55400,
"Taranaki","Total people, age","Male","2013",55900,
"Taranaki","Total people, age","Male","2014",56700,
"Taranaki","Total people, age","Male","2015",57700,
"Taranaki","Total people, age","Male","2016",58800,
"Taranaki","Total people, age","Male","2017",59700,
"Taranaki","Total people, age","Male","2018",60400,
"Taranaki","Total people, age","Male","2019",61300,
"Taranaki","Total people, age","Male","2020",62300,
"Taranaki","Total people, age","Female","1996",55000,
"Taranaki","Total people, age","Female","1997",54900,
"Taranaki","Total people, age","Female","1998",54700,
